player_name,date,floor_reached,won,time_sec,gold_earned,damage_done
Naruto Uzumaki,2025-10-26 16:10:02.016070,1,0,18,36,211
Naruto Uzumaki,2025-10-26 16:10:12.339481,1,0,5,104,73
Naruto Uzumaki,2025-10-26 16:14:27.109989,1,0,21,30,202
Tony Stark (Iron Man),2025-10-26 16:17:56.166285,1,0,35,10,225
Mikasa Ackerman,2025-10-26 16:22:30,1,0,42,100,186
Naruto Uzumaki,2025-10-26 16:23:11,1,0,5,104,89
Naruto Uzumaki,2025-10-26 16:35:00,1,0,56,55,194
Naruto Uzumaki,2025-10-26 16:46:05,1,0,139,10,230
Naruto Uzumaki,2025-10-27 01:26:00,2,0,93,15,363
Naruto Uzumaki,2025-10-27 09:45:16,2,0,287,15,407
Naruto Uzumaki,2025-10-27 09:50:49,2,0,269,125,376
Naruto Uzumaki,2025-10-27 09:52:09,2,0,54,50,428
